Hours,Lifetime Hourly Data: System power generated (kW),MW
885.5,-7.08862,0
886.5,-7.08862,0
887.5,-7.08862,0
888.5,-7.08862,0
889.5,-7.08862,0
890.5,-7.08862,0
891.5,-7.08862,0
892.5,-7.08862,0
893.5,-7.08862,0
894.5,896.259,0.896259
895.5,2887.01,2.88701
896.5,9464.27,9.46427
897.5,14833.3,14.8333
898.5,52509.1,52.5091
899.5,33990.9,33.9909
900.5,37028.3,37.0283
901.5,51914.1,51.9141
902.5,48207.4,48.2074
903.5,40053.8,40.0538
904.5,30147.9,30.1479
905.5,14440.4,14.4404
906.5,3100.78,3.10078
907.5,-7.08862,0
908.5,-7.08862,0
909.5,-7.08862,0
910.5,-7.08862,0
911.5,-7.08862,0
912.5,-7.08862,0
913.5,-7.08862,0
914.5,-7.08862,0
915.5,-7.08862,0
916.5,-7.08862,0
917.5,-7.08862,0
918.5,2484.91,2.48491
919.5,10622.2,10.6222
920.5,17401.8,17.4018
921.5,35211.2,35.2112
922.5,45870.6,45.8706
923.5,33019.4,33.0194
924.5,41268.4,41.2684
925.5,50361.5,50.3615
926.5,53918.7,53.9187
927.5,34352.9,34.3529
928.5,27927.5,27.9275
929.5,16941.7,16.9417
930.5,4295.75,4.29575
931.5,-7.08862,0
932.5,-7.08862,0
933.5,-7.08862,0
934.5,-7.08862,0
935.5,-7.08862,0
936.5,-7.08862,0
937.5,-7.08862,0
938.5,-7.08862,0
939.5,-7.08862,0
940.5,-7.08862,0
941.5,-7.08862,0
942.5,1314.08,1.31408
943.5,10835.2,10.8352
944.5,22559.5,22.5595
945.5,36603.2,36.6032
946.5,48440.8,48.4408
947.5,54503.4,54.5034
948.5,54503.4,54.5034
949.5,54503.4,54.5034
950.5,51409.5,51.4095
951.5,37261.1,37.2611
952.5,27491.6,27.4916
953.5,11256.4,11.2564
954.5,2244.6,2.2446
955.5,-7.08862,0
956.5,-7.08862,0
957.5,-7.08862,0
958.5,-7.08862,0
959.5,-7.08862,0
960.5,-7.08862,0
961.5,-7.08862,0
962.5,-7.08862,0
963.5,-7.08862,0
964.5,-7.08862,0
965.5,-7.08862,0
966.5,1782.71,1.78271
967.5,9200.44,9.20044
968.5,23057.3,23.0573
969.5,32543.2,32.5432
970.5,39112.7,39.1127
971.5,53033.2,53.0332
972.5,54503.4,54.5034
973.5,54503.4,54.5034
974.5,44798.7,44.7987
975.5,39962.9,39.9629
976.5,27652.3,27.6523
977.5,15152,15.152
978.5,4049.1,4.0491
979.5,-7.08862,0
980.5,-7.08862,0
981.5,-7.08862,0
982.5,-7.08862,0
983.5,-7.08862,0
984.5,-7.08862,0
985.5,-7.08862,0
986.5,-7.08862,0
987.5,-7.08862,0
988.5,-7.08862,0
989.5,-7.08862,0
990.5,1495.95,1.49595
991.5,7453.85,7.45385
992.5,18134.4,18.1344
993.5,40319.8,40.3198
994.5,38411.5,38.4115
995.5,54503.4,54.5034
996.5,51464.1,51.4641
997.5,54503.4,54.5034
998.5,49170.1,49.1701
999.5,42487.8,42.4878
1000.5,30404.8,30.4048
1001.5,16596.6,16.5966
1002.5,4877.64,4.87764
1003.5,-7.08862,0
1004.5,-7.08862,0
1005.5,-7.08862,0
1006.5,-7.08862,0
1007.5,-7.08862,0
1008.5,-7.08862,0
1009.5,-7.08862,0
1010.5,-7.08862,0
1011.5,-7.08862,0
1012.5,-7.08862,0
1013.5,-7.08862,0
1014.5,983.069,0.983069
1015.5,6391.48,6.39148
1016.5,14650,14.65
1017.5,21067.5,21.0675
1018.5,28828.4,28.8284
1019.5,17817.9,17.8179
1020.5,5775.26,5.77526
1021.5,5286.97,5.28697
1022.5,8880.3,8.8803
1023.5,10431.7,10.4317
1024.5,20014,20.014
1025.5,13121,13.121
1026.5,3433.04,3.43304
1027.5,-7.08862,0
1028.5,-7.08862,0
1029.5,-7.08862,0
1030.5,-7.08862,0
1031.5,-7.08862,0
1032.5,-7.08862,0
1033.5,-7.08862,0
1034.5,-7.08862,0
1035.5,-7.08862,0
1036.5,-7.08862,0
1037.5,-7.08862,0
1038.5,1840.63,1.84063
1039.5,13200.1,13.2001
1040.5,24449,24.449
1041.5,39429.2,39.4292
1042.5,44597.8,44.5978
1043.5,37366.8,37.3668
1044.5,41292.4,41.2924
1045.5,15016.8,15.0168
1046.5,19597.8,19.5978
1047.5,28888.9,28.8889
1048.5,10931.8,10.9318
1049.5,6233.23,6.23323
1050.5,2412.13,2.41213
1051.5,-7.08862,0
1052.5,-7.08862,0
1053.5,-7.08862,0
1054.5,-7.08862,0
1055.5,-7.08862,0
1056.5,-7.08862,0
1057.5,-7.08862,0
1058.5,-7.08862,0
